[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (17:15:44 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:16:35 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:18:41 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:20:46 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:22:51 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:24:57 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:27:02 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:29:08 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:31:13 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:33:18 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:35:25 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:37:31 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:39:38 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:41:44 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:43:50 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:45:56 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:48:03 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:50:09 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:52:15 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:54:21 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:56:27 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (21:58:33 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:00:40 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:02:45 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:04:52 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:06:58 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:09:04 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:11:09 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:13:17 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:15:24 UTC)
[gcp-benchmark] 0/1 terminal, 0 finished, 0 failed, 1 running, 0 startup, 0 unknown, 0 unreachable (22:17:32 UTC)
[gcp-benchmark] 0 matching VMs remain (22:19:35 UTC); treating wait as complete
